ID,transaction_amount,account_tenure_years,num_prior_fraud_flags,country_risk_score,is_international,merchant_category,hour_of_day,channel,is_fraud,customer_age,device_trust_score,ethnicity,gender,country_of_origin,,,,
10406,143.8288116,4.136480342,0,8,0,travel,8,branch,1,60,0.464033108,Black,Female,India,,,,
10407,295.1088523,1.434094298,0,3,0,electronics,9,web,0,72,0.836208097,White,Male,Nigeria,,,,
10408,410.2262457,8.490891575,0,9,0,electronics,9,mobile,1,19,0.180366292,Asian,Male,India,,,,
10409,217.848714,0.585486455,0,1,0,luxury,0,mobile,0,19,0.145657343,White,Male,Nigeria,,,,
10410,96.48446231,8.84353534,0,6,0,grocery,21,web,1,55,0.471851055,Asian,Male,Brazil,,,,
10411,162.0841965,4.615693133,0,2,0,travel,5,mobile,0,72,0.370603012,Asian,Female,Brazil,,,,
10412,461.2539535,1.034564512,0,9,0,luxury,13,branch,1,68,0.561280641,White,Female,UK,,,,
10413,178.1588602,3.904816794,0,9,0,travel,22,branch,0,46,0.94707431,Asian,Male,Nigeria,,,,
10414,130.9684703,1.659903551,0,8,0,grocery,8,web,1,69,0.76088625,Asian,Male,France,,,,
10415,139.8852612,1.953872734,0,7,0,travel,22,web,0,63,0.687058153,White,Other,Nigeria,,,,
10416,217.1513364,2.165682584,0,6,0,travel,22,branch,0,77,0.415936944,Asian,Other,Brazil,,,,
10417,82.56317345,0.327063833,0,2,0,travel,11,web,0,20,0.287359836,White,Male,China,,,,
10418,109.9197118,21.3298243,0,4,0,electronics,18,b,1,56,0.540264103,Black,Male,Brazil,,,,
10419,314.9772394,0.160212756,1,7,0,grocery,19,branch,1,24,0.885443528,Other,Other,India,,,,
10420,212.8127615,5.43090252,0,6,1,electronics,21,branch,1,53,0.876742511,Other,Other,UK,,,,
10421,179.516084,2.31993004,1,9,1,clothing,22,branch,1,46,0.445514949,Other,Male,France,,,,
10422,325.6013565,5.192437184,1,5,0,luxury,11,web,1,72,0.246220353,Asian,Other,UK,,,,
10423,91.46857838,2.202210567,0,6,0,electronics,12,branch,0,54,0.22534445,White,Female,Nigeria,,,,
10424,127.8434917,5.600466506,0,6,0,travel,2,branch,1,66,0.033988417,Other,Other,China,,,,
10425,207.8930305,6.532529373,0,8,0,clothing,10,mobile,1,75,0.842664246,Asian,Male,Nigeria,,,,
10426,202.6914591,5.864836417,0,8,0,grocery,1,mobile,0,53,0.264838034,Asian,Female,Brazil,,,,
10427,42.58455743,0.604977094,0,6,1,grocery,17,mobile,0,40,0.358999141,White,Female,India,,,,
10428,118.0461414,5.348568055,0,8,0,electronics,17,mobile,1,62,0.809216141,Black,Other,France,,,,
10429,146.699837,1.642433873,0,7,1,travel,23,web,0,33,0.120024052,White,Male,China,,,,
10430,224.4605542,0.146121349,0,1,0,travel,8,mobile,0,65,0.461234079,Asian,Other,India,,,,
10431,202.1763642,2.679270119,1,5,0,grocery,0,mobile,1,48,0.12234138,Black,Other,France,,,,
10432,157.2392964,2.841771438,1,5,0,travel,15,mobile,1,51,0.44184857,Black,Other,China,,,,
10433,21.41050819,3.147803062,0,9,0,luxury,0,web,0,67,0.047139574,Other,Female,UK,,,,
10434,163.2671194,6.100920253,0,7,0,electronics,20,branch,0,18,0.517622826,Asian,Other,Brazil,,,,
10435,174.5639028,1.846947224,0,7,1,electronics,19,mobile,1,35,0.795709719,White,Other,India,,,,
10436,729.7997789,1.893730164,0,2,1,travel,23,branch,0,75,0.676296675,White,Other,Nigeria,,,,
10437,143.0459773,0.312315415,0,8,0,grocery,4,mobile,1,79,0.50916901,Other,Other,Brazil,,,,
10438,208.7059522,5.804905283,0,3,0,luxury,16,web,0,57,0.828758712,Asian,Male,France,,,,
10439,362.0212759,4.194636028,0,9,0,luxury,7,web,0,60,0.227787975,White,Male,China,,,,
10440,283.8072696,2.149494325,1,6,1,luxury,5,web,1,73,0.830796285,White,Male,Brazil,,,,
10441,421.2804581,6.107103672,0,9,0,clothing,0,branch,1,73,0.27636348,White,Female,Nigeria,,,,
10442,43.29122194,3.854006,0,9,0,travel,12,web,1,32,0.362486341,Black,Male,Nigeria,,,,
10443,68.70618942,3.167273279,0,7,0,luxury,17,branch,1,65,0.128430202,Black,Other,France,,,,
10444,103.7267044,3.580283492,1,8,1,travel,3,web,1,66,0.101754756,Other,Other,Brazil,,,,
10445,35.93171949,5.057791285,0,2,0,grocery,14,mobile,0,34,0.932111519,Other,Male,India,,,,
10446,175.6757294,5.39408661,0,5,1,grocery,13,mobile,0,61,0.189978247,White,Female,Brazil,,,,
10447,73.91777106,1.705117624,0,3,0,grocery,15,mobile,0,27,0.333296155,Asian,Female,Nigeria,,,,
10448,457.5208747,0.758438198,0,1,0,clothing,4,mobile,0,37,0.529151699,Asian,Female,China,,,,
10449,84.62008804,0.851772332,0,6,0,grocery,0,branch,0,23,0.347867133,Other,Other,France,,,,
10450,128.4503218,5.099803469,0,9,0,travel,22,web,1,25,0.870133283,Asian,Male,UK,,,,
10451,295.296216,10.3128547,0,2,0,electronics,3,branch,1,62,0.900714763,Asian,Female,UK,,,,
10452,52.9138057,2.633896704,0,9,0,electronics,16,branch,1,51,0.325990457,White,Other,China,,,,
10453,33.35831649,0.928758126,0,8,0,travel,5,mobile,0,78,0.092027696,White,Female,Brazil,,,,
10454,191.6571744,7.065296813,0,9,0,electronics,3,web,1,49,0.210158234,Asian,Female,Nigeria,,,,
10455,202.5190486,8.933545452,0,5,0,luxury,6,branch,0,68,0.474392921,White,Male,Brazil,,,,
10456,289.345464,10.62564523,0,2,0,electronics,0,branch,1,71,0.288481042,Asian,Other,France,,,,
10457,243.537722,4.667584125,0,6,0,clothing,9,branch,1,59,0.453472238,Asian,Female,India,,,,
10458,208.0223671,9.8566522,0,7,0,grocery,12,branch,0,21,0.7587035,Black,Other,UK,,,,
10459,93.3881417,0.077675021,0,3,0,electronics,8,web,1,61,0.420638434,Asian,F,Brazil,,,,
10460,198.4844912,0.567163944,0,6,0,electronics,13,mobile,1,67,0.196997456,Black,Male,Nigeria,,,,
10461,207.437426,0.485727684,0,6,0,clothing,0,mobile,1,56,0.357967641,Other,Female,China,,,,
10462,90.40842928,6.234483021,0,8,0,clothing,8,branch,1,37,0.742981218,Asian,Male,UK,,,,
10463,542.207552,0.360605494,0,1,0,electronics,5,web,1,41,0.42406212,Other,Female,UK,,,,
10464,235.6273571,3.429511168,0,4,0,luxury,9,web,1,41,0.249537853,White,Male,India,,,,
10465,69.84617455,3.199993577,0,1,1,electronics,10,branch,0,72,0.427411639,Black,Female,Brazil,,,,
10466,290.3277905,1.860419004,0,8,1,luxury,6,web,1,43,0.454806688,Other,Female,India,,,,
10467,324.539514,10.21671194,0,2,0,grocery,19,branch,1,42,0.296377205,White,Female,Nigeria,,,,
10468,225.8378349,0.934258222,0,8,0,travel,21,mobile,0,53,0.995685089,Asian,Other,Nigeria,,,,
10469,136.9519838,2.172895056,0,3,1,grocery,11,mobile,1,24,0.767626019,Black,Other,Brazil,,,,
10470,87.0685346,7.439897087,0,8,0,electronics,21,mobile,0,27,0.692454987,Asian,Female,UK,,,,
10471,156.9097196,0.15447339,0,6,1,electronics,11,branch,1,75,0.854866985,Other,Other,France,,,,
10472,214.7025946,5.588217192,2,1,1,luxury,13,branch,1,64,0.666419196,Asian,Other,India,,,,
10473,168.350845,8.474917086,0,7,0,clothing,9,mobile,1,29,0.790980343,White,Female,UK,,,,
10474,433.5527217,13.46097079,0,7,0,luxury,15,branch,1,18,0.412525645,Other,Female,China,,,,
10475,261.1912836,10.44934421,0,6,0,clothing,21,web,0,69,0.50037177,Black,Female,Nigeria,,,,
10476,78.69200544,1.923785901,0,1,0,clothing,3,mobile,0,67,0.046996383,White,Other,Nigeria,,,,
10477,63.11876548,4.413846303,0,5,1,clothing,22,web,1,42,0.280646391,White,Other,UK,,,,
10478,237.0351115,0.402220362,1,1,1,clothing,13,web,1,33,0.368012409,Black,Other,UK,,,,
10479,139.4502526,1.491154269,0,1,1,electronics,1,branch,0,22,0.625470225,White,Female,China,,,,
10480,276.8812146,0.494807271,0,6,0,travel,1,branch,1,36,0.464211285,Other,Other,Nigeria,,,,
10481,235.5305629,1.893049472,1,8,1,travel,10,mobile,1,21,0.607838262,Asian,Other,India,,,,
10482,157.4401879,10.40470186,0,1,1,grocery,10,branch,0,23,0.713327335,Black,Male,India,,,,
10483,79.50606811,2.132168398,0,2,1,grocery,5,branch,0,43,0.042718668,Black,Male,UK,,,,
10484,37.61997247,4.126518771,0,5,1,grocery,2,web,0,66,0.258277747,Other,Female,Brazil,,,,
10485,195.8620742,2.840339454,0,8,0,luxury,22,branch,1,56,0.170903873,Other,Female,Nigeria,,,,
10486,52.02515336,3.070908566,0,4,0,grocery,8,mobile,0,73,0.187455119,Black,Other,France,,,,
10487,76.62041294,17.46196873,0,5,0,grocery,2,branch,0,72,0.503125396,Black,Male,Nigeria,,,,
10488,187.310628,1.75598181,0,5,0,grocery,0,mobile,0,56,0.739978776,Black,Male,India,,,,
10489,174.2948876,4.935235647,0,3,0,electronics,1,web,0,26,0.272777034,Black,Female,India,,,,
10490,58.37219565,2.724176161,0,6,0,grocery,14,web,0,62,0.824449238,Other,Other,France,,,,
10491,349.2326564,0.315477446,2,5,0,travel,10,web,1,69,0.892456517,Asian,Female,India,,,,
10492,343.085843,3.360166592,1,2,0,electronics,7,mobile,1,31,0.350533872,Black,Other,France,,,,
10493,242.3914208,8.392421669,0,4,1,clothing,15,web,0,65,0.681356539,White,Male,India,,,,
10494,242.1844454,0.519879422,0,4,0,luxury,22,web,1,72,0.117049294,White,Other,China,,,,
10495,242.3934789,0.360659577,0,7,0,electronics,16,branch,1,26,0.744028285,White,Male,France,,,,
10496,322.6559947,0.834002296,0,7,0,electronics,2,mobile,1,32,0.165023875,Other,Male,Brazil,,,,
10497,265.6975361,7.2281015,0,9,0,travel,7,web,1,54,0.687415804,Black,Male,Nigeria,,,,
10498,85.47978107,6.436688446,0,2,0,grocery,6,branch,0,67,0.421900003,Other,Female,India,,,,
10499,137.9248481,4.162250484,0,6,0,clothing,20,branch,0,70,0.928456322,White,Female,UK,,,,
10500,679.6532198,3.157687259,0,2,0,travel,2,web,0,37,0.464460582,Asian,Female,France,,,,
10501,23.14843191,10.96084854,0,9,1,travel,6,mobile,1,25,0.030902817,White,Other,France,,,,
10502,112.8629709,7.277103861,0,2,0,electronics,4,web,1,49,0.480669036,Black,Female,France,,,,
10503,350.4812556,8.355030947,1,6,1,clothing,0,branch,1,64,0.795498744,Asian,Male,India,,,,
10504,90.32668262,8.390251639,1,8,1,travel,4,mobile,1,38,0.647084331,Asian,Female,Nigeria,,,,
10505,270.6979288,5.146137636,0,6,1,luxury,2,branch,1,74,0.966315197,Asian,Male,UK,,,,
10506,172.6194638,3.0625813,0,3,0,luxury,17,web,1,58,0.84327249,White,Female,France,,,,
10507,95.9044917,10.00048164,0,5,0,travel,18,mobile,1,36,0.526551663,Other,Other,France,,,,
10508,18.10112171,13.01895214,0,4,0,electronics,9,web,0,46,0.206520566,White,Other,France,,,,
10509,191.915252,0.120469931,0,1,0,luxury,3,web,0,75,0.00377463,Black,Male,China,,,,
10510,83.86093215,0.26465672,0,5,0,electronics,12,web,1,48,0.980502397,Asian,Female,France,,,,
10511,152.2887375,15.9397084,0,5,0,grocery,0,branch,0,71,0.938319698,Other,Female,UK,,,,
10512,240.730097,1.622841153,0,7,0,grocery,3,mobile,0,23,0.274143994,Other,Male,France,,,,
10513,305.2812298,10.33240703,0,7,0,electronics,8,mobile,0,21,0.638215786,Black,Other,China,,,,
10514,112.5632356,2.461615276,0,2,1,travel,16,branch,0,60,0.729239563,Black,Female,UK,,,,
10515,95.75016153,0.634056161,0,4,0,grocery,10,mobile,1,46,0.578013461,Black,Female,UK,,,,
10516,51.13060779,0.419317322,0,1,0,grocery,6,mobile,1,59,0.842961675,Asian,Female,France,,,,
10517,315.4629072,0.851023708,0,5,1,luxury,23,web,0,20,0.077824648,Asian,Other,Brazil,,,,
10518,618.1725976,1.437698379,1,5,1,travel,6,web,1,18,0.896494034,Black,Female,UK,,,,
10519,338.6476383,3.352217884,0,4,0,electronics,12,branch,0,61,0.392019011,Asian,Other,Brazil,,,,
10520,389.5601053,6.044891564,0,7,0,grocery,18,mobile,0,72,0.480690022,White,Female,UK,,,,
10521,90.98340955,21.48790411,0,6,0,travel,16,branch,1,32,0.44473365,Other,Other,China,,,,
10522,230.7801665,2.912563672,0,3,1,grocery,17,branch,0,64,0.531286223,Asian,Male,India,,,,
10523,288.0069499,3.650974682,2,2,0,luxury,12,branch,1,38,0.598168472,Other,Other,France,,,,
10524,66.31385974,3.688795294,0,4,0,travel,16,branch,1,63,0.710343433,White,Male,India,,,,
10525,478.7152146,3.876499415,1,9,0,clothing,17,web,1,75,0.524940339,Asian,Female,UK,,,,
10526,41.82134336,3.646366269,0,5,0,luxury,20,branch,0,48,0.684773256,Black,Female,India,,,,
10527,430.5657016,0.0440674,0,1,0,electronics,19,mobile,0,24,0.338297444,Black,Female,France,,,,
10528,41.52821277,0.008631557,0,3,0,travel,1,web,1,34,0.93668087,White,Male,France,,,,
10529,69.35376599,0.513854459,0,9,0,grocery,18,web,1,73,0.06453102,White,Female,UK,,,,
10530,233.7250493,0.535457862,0,7,0,travel,14,branch,1,36,0.545540609,Asian,Other,UK,,,,
10531,175.8414638,6.102152613,0,3,0,electronics,8,web,0,56,0.087396176,White,Other,Brazil,,,,
10532,121.7076633,1.146537752,0,1,1,travel,13,web,0,77,0.442767036,Other,Male,Nigeria,,,,
10533,466.7143805,11.25537909,0,4,1,grocery,18,web,1,20,0.257582358,Black,Other,India,,,,
10534,52.49726881,13.19773032,0,9,0,luxury,7,web,1,47,0.93690345,Asian,Male,Brazil,,,,
10535,147.8292201,18.6263352,0,7,0,luxury,11,web,1,52,0.013075386,White,Male,India,,,,
10536,254.739509,13.99107585,0,5,1,grocery,16,web,0,75,0.391203631,Other,Female,France,,,,
10537,205.638091,1.586504193,1,6,1,clothing,11,mobile,1,74,0.78204275,Black,Male,UK,,,,
10538,98.50895712,3.564472863,0,1,0,clothing,14,web,0,46,0.188461413,Black,Other,India,,,,
10539,101.5710584,0.964617619,1,7,0,luxury,4,web,1,67,0.815588205,Asian,Other,Nigeria,,,,
10540,302.1699922,8.204892005,0,5,0,electronics,1,branch,0,79,0.859725088,Asian,Female,France,,,,
10541,311.8691319,10.96559183,0,7,0,travel,19,web,0,69,0.708003,Asian,Male,China,,,,
10542,209.5698833,9.528746866,0,5,0,grocery,17,web,0,71,0.209069182,Asian,Female,France,,,,
10543,80.91719372,2.840216803,0,5,1,electronics,2,branch,1,31,0.272038657,White,Female,Brazil,,,,
10544,104.3033892,7.108030423,0,3,0,travel,4,mobile,1,52,0.166934729,Asian,Female,Nigeria,,,,
10545,163.9828188,0.513371576,1,5,0,luxury,1,mobile,1,45,0.184063737,White,Female,France,,,,
10546,182.2770574,0.205384982,0,8,0,grocery,8,web,0,75,0.036492296,Other,Female,Nigeria,,,,
10547,247.7436118,6.996622718,0,8,0,electronics,23,mobile,1,47,0.857315081,Other,Male,UK,,,,
10548,141.9027223,2.770016488,0,2,0,travel,4,mobile,0,43,0.528502287,Black,Other,China,,,,
10549,297.5512233,27.07342985,1,1,0,luxury,16,mobile,1,24,0.327759224,Other,Male,Nigeria,,,,
10550,295.2947829,0.511571444,0,2,0,luxury,20,mobile,0,56,0.289576996,Other,Male,Brazil,,,,
10551,398.3953683,9.676798856,0,7,0,travel,19,web,0,48,0.544696296,Asian,Female,Brazil,,,,
10552,169.3929829,3.269469508,0,3,0,clothing,14,web,1,22,0.326684822,Asian,Other,India,,,,
10553,212.1168842,8.776661218,1,8,0,clothing,12,branch,1,52,0.863717975,Asian,Male,China,,,,
10554,150.4235207,8.494824496,0,4,0,travel,8,web,0,67,0.210957435,Other,Male,UK,,,,
10555,81.77946825,12.38421631,0,8,0,travel,1,web,1,64,0.882301791,Asian,Other,UK,,,,
10556,609.009622,1.768041193,0,2,0,travel,22,mobile,0,69,0.664092453,Asian,Male,Nigeria,,,,
10557,365.3416728,14.95863687,0,5,0,luxury,1,mobile,1,31,0.95662922,Asian,Other,Brazil,,,,
10558,291.1842928,0.822409924,0,6,0,grocery,10,web,0,78,0.015107242,Asian,Male,Brazil,,,,
10559,165.0906093,0.427619388,0,1,0,luxury,2,web,1,53,0.059095566,White,Female,Brazil,,,,
10560,75.59481042,2.824785916,0,1,0,luxury,2,mobile,0,44,0.500894594,Asian,Other,UK,,,,
10561,326.909391,8.81070146,0,9,0,clothing,9,web,1,41,0.91237883,Other,Male,Brazil,,,,
10562,148.3933791,3.206770796,1,5,0,travel,23,web,1,57,0.730794952,Asian,Male,India,,,,
10563,225.8616318,8.838848031,0,4,0,luxury,1,mobile,1,46,0.622135933,Asian,Other,France,,,,
10564,103.9690452,6.540870068,1,1,0,luxury,0,mobile,0,70,0.031602156,White,Other,Brazil,,,,
10565,200.3341752,1.174995167,0,3,0,travel,5,branch,0,62,0.354163788,Asian,Other,India,,,,
10566,109.4132063,14.86805628,0,4,0,grocery,5,web,0,39,0.345852893,Asian,Other,India,,,,
10567,112.951952,0.313533898,0,5,0,clothing,10,mobile,0,25,0.542085682,Black,Other,France,,,,
10568,198.4549378,11.42764232,0,5,0,electronics,15,mobile,0,32,0.257827779,Asian,Other,UK,,,,
10569,40.90654751,1.815214805,0,8,0,luxury,0,web,1,66,0.267155715,Other,Female,Brazil,,,,
10570,42.99690786,3.467216954,0,3,0,grocery,4,web,0,22,0.6208608,Black,Female,China,,,,
10571,90.05744379,2.74395186,1,7,0,electronics,9,mobile,1,69,0.944567543,Black,Other,India,,,,
10572,140.6015155,0.94271167,0,6,0,travel,20,web,1,21,0.660179104,Other,Male,India,,,,
10573,303.7192913,2.216978827,0,6,1,electronics,22,branch,1,28,0.668130124,Other,Female,France,,,,
10574,146.8596316,1.071751851,0,9,1,travel,5,mobile,1,35,0.986214813,Asian,Female,China,,,,
10575,164.2880374,1.140067423,0,7,0,grocery,10,mobile,1,59,0.153478167,Asian,Male,India,,,,
10576,132.1094543,1.035470404,0,7,0,electronics,15,web,0,66,0.033834774,Asian,Female,Brazil,,,,
10577,211.897453,3.357098509,0,1,0,clothing,19,mobile,1,47,0.745513951,Black,Female,UK,,,,
10578,81.05795587,7.995739372,0,1,1,grocery,12,web,1,32,0.438787433,Other,Other,India,,,,
10579,153.0163934,4.20788832,0,9,0,electronics,11,branch,1,23,0.428823355,White,Female,UK,,,,
10580,224.0924793,11.18429522,0,9,0,luxury,17,branch,1,72,0.225303376,White,Female,India,,,,
10581,197.3030808,5.060491895,0,3,1,electronics,12,branch,1,70,0.506863041,Asian,Female,India,,,,
10582,168.29763,5.845282923,0,8,0,electronics,4,mobile,0,33,0.442172344,Other,Other,Brazil,,,,
10583,169.8509838,5.507189832,1,9,0,clothing,12,branch,1,64,0.345450008,Asian,Male,UK,,,,
10584,239.5790327,2.984270994,3,1,0,grocery,12,web,1,57,0.442745159,Black,Male,China,,,,
10585,627.8199197,5.845262106,1,3,1,luxury,18,web,1,26,0.383834771,Black,Male,Nigeria,,,,
10586,85.93368334,0.361282455,0,6,1,grocery,18,branch,1,60,0.939896358,White,Male,Brazil,,,,
10587,639.3352327,9.825262519,0,4,0,grocery,12,branch,0,76,0.980251657,Other,Female,UK,,,,
10588,82.57896113,7.521160271,1,8,0,luxury,10,web,1,51,0.839900933,Other,Other,UK,,,,
10589,15.35134953,1.406710783,0,9,0,luxury,15,branch,0,44,0.990414091,Black,Other,UK,,,,
10590,107.5890009,7.305789031,0,7,0,clothing,22,branch,0,30,0.265719429,Other,Female,Nigeria,,,,
10591,214.7949261,0.063615996,0,1,0,travel,13,branch,0,53,0.84292511,White,Male,Brazil,,,,
10592,545.1596816,1.2246877,0,2,0,clothing,9,web,0,44,0.406629012,Asian,Other,Nigeria,,,,
10593,75.50641684,0.336777699,0,1,0,luxury,1,web,1,26,0.746136398,Other,Female,India,,,,
10594,238.5808096,7.575798521,0,9,0,electronics,7,branch,1,22,0.201392641,Other,Female,France,,,,
10595,47.72399446,7.050357064,0,4,0,electronics,22,web,1,68,0.81195609,White,Female,Nigeria,,,,
10596,532.5389688,8.400268281,0,8,0,grocery,7,branch,1,39,0.083464426,White,Female,India,,,,
10597,370.0079811,0.022458831,1,5,1,grocery,21,branch,1,48,0.270557707,Asian,Other,Nigeria,,,,
10598,113.137586,3.478078391,0,5,0,travel,20,branch,1,20,0.821952617,White,Female,UK,,,,
10599,409.6692791,6.10112407,0,5,0,travel,19,mobile,0,47,0.747159222,Black,Other,France,,,,
10600,152.3126377,0.844467365,0,5,0,travel,13,mobile,1,38,0.501246755,Black,Female,France,,,,
10601,382.9820613,5.246121909,0,3,0,travel,23,branch,0,52,0.672792774,Asian,Female,China,,,,
10602,167.3445423,0.439295586,0,6,0,electronics,13,mobile,0,23,0.185574024,Asian,Other,India,,,,
10603,172.8057053,1.000345725,0,1,0,luxury,17,branch,0,45,0.667763622,Other,Female,China,,,,
10604,115.0538879,3.229379561,0,8,1,travel,14,mobile,1,49,0.007976167,Black,Male,Nigeria,,,,
10605,260.7008541,5.300302544,0,4,1,clothing,21,branch,0,59,0.833215867,Black,Other,Nigeria,,,,
10606,182.6841281,0.788354249,0,6,0,travel,15,mobile,1,54,0.516287608,Black,Other,Nigeria,,,,
10607,242.2925945,1.024206144,0,2,0,electronics,13,web,0,79,0.943878452,Black,Female,India,,,,
10608,36.70537385,1.143585065,0,2,0,grocery,9,web,0,42,0.478164267,White,Other,Nigeria,,,,
10609,392.0130741,1.363644188,0,8,1,clothing,21,mobile,1,49,0.433087282,Black,Other,France,,,,
10610,457.8291159,1.284496141,one,1,0,travel,20,branch,0,52,0.450052812,Asian,Male,France,,,,
10611,182.0506589,2.513866558,0,8,1,electronics,1,mobile,1,39,0.35972862,Other,Other,Brazil,,,,
10612,599.3706642,5.303543715,0,1,0,grocery,4,mobile,0,41,0.166675084,Other,Male,Nigeria,,,,
10613,511.5041656,2.881549922,0,9,0,travel,2,web,1,56,0.842062727,Asian,Other,Nigeria,,,,
10614,264.6391842,7.479963776,0,1,0,electronics,22,web,0,71,0.389085408,Black,Male,China,,,,
10615,413.1494632,6.351783018,0,4,0,electronics,6,web,0,47,0.529108428,White,Other,France,,,,
10616,344.0524248,0.676389808,0,9,0,luxury,23,mobile,0,67,0.019886916,Black,Other,France,,,,
10617,27.11297009,0.250373467,0,1,0,electronics,11,web,0,49,0.060253873,Black,Male,UK,,,,
10618,134.2496319,10.51627683,0,9,0,travel,9,web,1,48,0.597183229,Asian,Male,UK,,,,
10619,277.5230774,0.415990012,0,8,0,electronics,10,web,1,40,0.879228083,Other,Male,Brazil,,,,
10620,477.7257298,0.802834654,0,5,0,clothing,16,branch,1,57,0.493395828,Other,Other,France,,,,
10621,44.44439183,0.111909459,0,6,0,electronics,3,branch,1,50,0.164974581,Other,Female,Brazil,,,,
10622,29.2989072,4.948830208,0,5,0,electronics,5,mobile,1,42,0.116127314,Asian,Female,Nigeria,,,,
10623,159.5978494,4.365803772,0,4,0,clothing,6,web,1,53,0.899788001,White,Other,Nigeria,,,,
10624,16.88628454,21.67711484,0,4,0,travel,4,mobile,0,41,0.701637854,White,Other,France,,,,
10625,155.4240344,10.89884688,0,8,0,grocery,5,mobile,1,48,0.966195555,Other,Male,India,,,,
